,manufacturer_keywords,product_keywords,Unique Identifier 
1025,roche diagnostics pvt ,elecsys antigen  clia cobas e411,1241
1026,roche diagnostics switzerland,light mix modular 19 rdrp,1411
1027,roche molecular systems,cobas  influenza ab nucleic acid  use on the cobas liat systems,809
1028,roche molecular systems ,cobas  influenza ab,972
1029,roche molecular systems ,cobas qualitative nucleic acid  use on the cobas 68008800 systems,811
1030,roche molecular systems 1080 us highway 202 south branchburg nj 08876 usa,cobas  influenza ab nucleic acid  use on the cobas liat system material code 09211101190,1105
1031,rohto pharmaceutical ,check mr cov19,119
1032,romedholland  van oostveen medical bv,romed coronavirus ag rapid  cassette swab,588
1033,safecare biotech hangzhou , antigen swab,192
1034,sakura tech  ,sherlock crispr ,1002
1035,salofa oy,clarity  antigen rapid  cassette,123
1036,salofa oy,ovios antigen rapid  cassette,479
1037,salofa oy,salocor  antigen rapid  cassette,593
1038,salofa oy,sienna  iggigm rapid  cassette,909
1039,salofa oy,sienna clarity  antigen rapid  cassette,668
1040,salofa oy,sienna clarity coviblock  iggigm rapid  cassette,667
1041,salofa oy,spring health  antigen rapid  cassette,686
1042,sansure bio tech ,novel coronavirus 2019  nucleic acid diagnostic  fluorescence probing,447
1043,sansure biotech , nucleic acid pcrtest ,987
1044,sansure biotech ,acs 2019 nucleic acid based diagnostic reagent ,917
1045,sansure biotech ,reagents dna andor rna extraction and preparation bacteria andor virus,936
1046,sansure biotech ,sansure2019 nucleic acid based diagnostic reagent ,950
1047,sansure biotech  changsha china,novel coronavirus2019 nucleic acid diagnostic  fluorescence probing,1412
1048,sansure biotech no680 lusong road hitech development zone yuelu district changsha hunan prove 410205 peoples republic of china,novel coronavirus 2019 nucleic acid diagnostic  fluorescence probing,1050
1049,schebo biotech ag,schebo quick antigen,655
1050,sciencell,sciencell coronavirus real time  qpcr detection  multiplex option,656
1051,sd biosensor,athome kit nasal,1116
1052,sd biosensor,sd biosensor rapid antibody ,815
1053,sd biosensor,sd biosensor rapid antigen ,810
1054,sd biosensor,sd biosensor rapid antigen  nasal,812
1055,sd biosensor,standard  igmigg combo ,853
1056,sd biosensor,standard  igmigg duo ,854
1057,sd biosensor,standard n real time detection ,690
1058,sd biosensor,standard n realtime detection  ,967
1059,sd biosensor ,  rapid antigen  nasal,649
1060,sd biosensor ,  rapid antigen self  nasal,642
1061,sd biosensor ,standard  ag ,691
1062,sd biosensor ,standard  ag   eco diagnostica ltda,694
1063,sd biosensor ,standard  ag fia,687
1064,sd biosensor ,standard  ag fia  eco diagnostica ltda,688
1065,sd biosensor ,standard  ag home ,692
1066,sd biosensor ,standard flu ag combo ,"689,695"
1067,sd biosensor  c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,standard  ag  ,1048
1068,sd biosensor  distributed roche diagnostics australia,  rapid antigen ,"644,645,646"
1069,sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,  rapid antibody ,1099
1070,sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,  rapid antigen ,1074
1071,sd biosensor c45 floor 16 deogyeongdaero 1556beongil yeongtonggu suwonsi gyeonggido 16690 republic of korea,standard  ag  ,1047
1072,sd biosensor c4th5th 16 deogyeongdaero1556beongil yeongtonggu suwonsi gyeonggido16690 republic of korea,standard n real time detection ,"1037,1036"
1073,sd biosensor healthcare pvt ,ultracovi  catch home ,1115
1074,sd biosensor healthcare pvt  gurugram haryana india,standard  igg elisa,1207
1075,sd biosensor korea supplied rochediagnostics,  rapid ag  nasal,1141
1076,sd biosensor south korea,n real time detection ,1413
1077,sd biosensor south korea,standard  ag fia analyser standard f2400,1142
1078,sd biosensor south korea  india,standard  ag,1215
1079,seasun biomaterials,aq top  rapiddetection ,47
1080,seasun biomaterials,aq top  rapiddetection  plus,48
1081,seasun biomaterials,u top  detection ,729
1082,seegene ,allplex  fluaflubrsv assay,974
1083,seegene ,allplex 2019 assay,927
1084,seegene ,allplex 2019 assay ,"35,36"
1085,seegene ,allplex master assay,1004
1086,seegene ,allplex variant assay,1005
1087,seegene  ,allplex assay nucleic  acid technique nat,961
1088,seegene  taewon bldg 91 ogeumro songpagu seoul republic of korea,allplex master assay,1031
1089,seegene south korea,allplex 2019 assay,1414
1090,seegene south korea,allplex master assay,1415
1091,seegene taewon bldg 91 ogeumro songpagu seoul republic of korea,allplextm assay,1015
1092,sekisui medical ,rapidtesta  ,565
1093,seloi healthcare,insta  ag one step antigen rapid ,351
1094,seloi healthcare pvt mumbai maharashtra india,insta  ag onestep antigen rapid ,1144
1095,sensingself  ,s1  rapid antigen ,590
1096,sensingself  ,s4 multiplex rapid antigen  mersinfluenza ainfluenza b,591
1097,sensitest the netherlands bv,sensitest joysbio antigen rapid  ,659
1098,sentinel diagnostics italy,stat nat  realtime ,1416
1099,sentinel diagnostics italy kopran laboratories limited,stat nat  hk lyophilized mix qualitative detection novel corona virus in realtime pcr,1417
1100,sg diagnostics, antigen rapid  ,185
1101,sga medikal,  rapid ag colloidal gold,640
1102,sga medikal,  rapid ag ifa,641
1103,shambhav medical uttar pradesh,virodetect  real time ,1418
1104,shangahai zj biotech,multiple respiratory virus nuceic acid ivd  nucleic acid technique nat,931
1105,shanghai biogerm medical technology room 13021307 1309 building 3 no 1588 huhang highway fengxian district shanghai china,novel coronavirus 2019 nucleic acid detection  fluorescence probing,1103
1106,shanghai bionaire biotech ,bionaire novel coronavirus  antigen  colloidal gold,795
1107,shanghai chemtron biotech , and influenza ab antigen combo rapid  colloidal gold,162
1108,shanghai chemtron biotech , antigen rapid  colloidal gold,172
1109,shanghai chemtron biotech ,influenza abrsvadenovirus antigen combo rapid  colloidal gold,223
1110,shanghai chemtron biotech ,influenza abrsvantigen combo rapid  colloidal gold,224
1111,shanghai fosun long march medical science  china,fosun  pcrdetection ,"285,286"
1112,shanghai fosun long march medical science  china,novel coronavirus 2019  detection  commercial name fosun 2019 qpcr,451
1113,shanghai geneodx biotechnology  china,novel coronavirus 2019 nucleic acid detection  real time pcr,457
1114,shanghai kehua bio engineering ,diagnostic  nucleic acid real time pcr,241
1115,shanghai zj biotech  china,novel coronavirus 2019  real time multiplex  ,449
1116,shanghai zj biotech  china,novel coronavirus 2019  real time multiplex detection 3 genes,450
1117,shankaranarayana life sciences llp karnataka,sn  ensure one step multiplex detection ,1419
1118,shenzenunimedica technology  vishat diagnostics pvt ,real time  novel coronavirus 2019 orf1ab n,1420
1119,shenzhen bioeasy biotechnology ,bioeasy 2019 ag fluorescence rapid time resolved fluorescence,90
1120,shenzhen kisshealth biotechnology ,  antigen  gica,806
1121,shenzhen landwind biotechnology ,landwind antigen colloidal gold,818
1122,shenzhen lvshiyuan biotechnology ,green spring antigen rapid  ,314
1123,shenzhen lvshiyuan biotechnology ,green spring flu  flu   ag rapid ,313
1124,shenzhen microprofit biotech ,  antigen fluorescence immunoassay,626
1125,shenzhen microprofit biotech , influenza ab antigen combo colloidal gold,600
1126,shenzhen mindray biomedical electronics  china,  igg clia,1206
1127,shenzhen mindray biomedical electronics co,mindray crea creatinine  sarcosine oxidase method,820
1128,shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 igg clia,1080
1129,shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 iggigm clia,1093
1130,shenzhen new industries biomedical engineering  no23 jinxiu east road pingshan district 518122 shenzhen pr china,maglumi 2019 igm clia,1089
1131,shenzhen unimedica technology  room 202 block 6th liuxian culture park xili town nanshan district shenzhen guangdong prove pr china,novel coronavirus 2019 nucleic acid detection  fluorescence method,1108
1132,shenzhen unimedica technology room 202 block 6th liuxian culture park xili town nanshan district shenzhen guangdong prove pr china,novel coronavirus 2019 nucleic acid detection  fluorescence method,1106
1133,shenzhen yhlo biotech ,gline 2019 ag,311
1134,shenzhen yhlo biotech ,iflash 2019 antigen,332
1135,shenzhen yhlo biotech ,unicell 2019 ag,730
1136,sherlock biosciences ,sherlock crispr ,666
1137,shimadzu corporation,ampdirect 2019 detection ,40
1138,shinjin medics ,diakey  ag rapid ,242
1139,sidak life care pvt  haryana india,mp real time   rna,1421
1140,sidak life care pvt  new delhi india,one step  igmigg antibody,1167
1141,sidak lifecare pvt ,one step novel corona virus  antigen  ,470
1142,sidak lifecare pvt  jhajjar hayana india,one step novel corona virus  antigentest ,1145
1143,siemens health care diagnostics  511 benedict ave tarrytown ny 10591 usa,siemens atellica im total ,783
1144,siemens healthcare diagnostics ,advia centaur antigen cov2ag,26
1145,siemens healthcare diagnostics ,atellica im antigen cov2ag,61
1146,siemens healthcare diagnostics  500 gbc drive mailstop 514 po box 6101 newark de 19714 usasiemens healthcare diagnostics 500 gbc drive mailstop 514 po box 6101 newark de 19714 usa,siemens dimensionexl  total antibody assaycv2t ,784
1147,siemens healthcare diagnostics  511 benedict avenue tarrytown ny 10591 usa siemens healthcare diagnostics 333 coney street east walpole ma 02032 usa,advia centaur  iggscovg ,765
1148,siemens healthcare diagnostics  511 benedict avenue tarrytown ny 10591 usa siemens healthcare diagnostics 333 coney street east walpole ma 02032 usa,atellica im igg scovg ,775
1149,siemens healthcare private limited vadodara india,imdx multiplex en gene rtpcr assay,1422
1150,siemens healthineers,clinitest rapid  antigen ,126
1151,sml genetree ,ezplex g ,277
1152,snibe  shenzhen new industries biomedical engineering ,maglumi ag clia,404
1153,snp biotechnology rd ,coviwok   ,979
1154,snp biotechnology rd  turkey wockhardt , real time  v1,1423
1155,solgent  represented jk toxpert,diaplexq novel coronavirus 2019 detection ,243
1156,sona nanotech,sona  lfa,683
1157,spartan bioscience  canada,spartan  system  cartridge,684
1158,speedx pty  australia,plexpcr  ,504
1159,spring healthcare services ag,  antigen rapid  cassette swab,616
1160,spring healthcare servicesag,spring healthcare  19 igmigg rapid ,902
1161,sreechitratirunal institute for medical sciencestechnology kerala,chitra  cov2 multiplex ,1424
1162,sri sathya sai institute of higher learning anantpur andhra pradesh india,saic 19 ag ,592
1163,st petersburg research institute of vaccinessera fsue spbsrivs fmba,  tru eia,652
1164,stellence pharmsciences pvt ,stellence  qpcr ,1425
1165,strumed solutions pvt  chennai tamilnadu india,instaxplor  ag  rapid antigen ,1146
1166,strumed solutions pvt  chennai tamilnadu india,instaxplor 19 ag  rapid antigen ,355
1167,sudxbiotec corporation,sgnp ncovflu detection ,661
1168,sugentech ,sgti flex  ag,663
1169,sugentech ,sgti flex  igg,"664,665"
1170,sugentech ,sgti flex flu ab ag duo,662
1171,sugentech 72126 jeongjungyeonjero osongeup heungdeokgu cheongjusi chungcheongbukdo 28161 republic of korea,sgti flex  igmigg,1079
1172,sun yatsen university da an gene company limited  no19 xiangshan road science park high new technology development district guangzhou guangdong pr china,detection  2019 novel coronavirus 2019 fluorescence,1054
1173,sure biotech usa ,2019 antigen rapid  colloidal gold,7
1174,sure biotech usa ,diagnostic  ag fluorescence immunochromatographic assay,240
1175,surescreen diagnostics ,surescreen  antigen rapid  cassette,699
1176,surescreen diagnostics ,surescreen  iggigm rapid ,901
1177,suzhou saier immunobiotech  saier biotech,instantsure  ag card,354
1178,suzhou symbio lifescience  china represented perkinelmer,perkinelmer real time assay,498
1179,sysmex corporation,2019 fluorescence detection real time ,12
1180,sysmex corporation,hiscl ag assay ,321
1181,sysmex corporation,hiscl ag reagent ,322
1182,t2 biosystems ,t2  panel,701
1183,taidoc technology corporation,fora  antigen rapid ,284
1184,taidoc technology corporation,vtrust  antigen rapid ,746
1185,taidoc technology corporation taiwan,fora  antigen rapid ,1233
1186,takara bio ,takara direct detection ,702
1187,talis biomedical corporation,talis one  cartridge pack,703
1188,tata medical  diagnostics  mumbai maharashtra india,tata md check omisure,1148
1189,tata medicaldiagnostics ,tata md check 3 gene,1428
1190,tata medicaldiagnostics ,tata md check fast,1429
1191,tata medicaldiagnostics ,tata md check fast 3 gene,1430
1192,tata medicaldiagnostics ,tata md check flex,1431
1193,tata medicaldiagnostics ,tata md check xf,"1426,1427"
1194,tauns laboratories ,immuno ace  capilia  ,335
1195,tauns laboratories ,imunoace capilia  ,342
1196,tbg biotechnology corp,exprobetm ing ,275
1197,tbg biotechnology corp,tbg igg  igmrapid  ,714
1198,tcm limited kerala,covi detect  2 real time detection ,1432
1199,td diagnostics canada pvt  ,sienna  iggigm rapid  cassette,896
1200,tecnobios srl,fast  antigen rapid colloidal gold,278
1201,tellgen corporation,  nucleic acid detection  based on real time platform,638
1202,theragen biologics private limited tamil nadu,gen  corona virus single tube multiplex detection ,1433
1203,thermo fisher scientific ,taqpath  ,710
1204,thermo fisher scientific ,taqpath  ce ivd ,704
1205,thermo fisher scientific ,taqpath  combo  advanced,707
1206,thermo fisher scientific  see also life technologies corporation,amplitude solution with taqpath  high throughput combo ,42
1207,thermo fisher scientific  see also life technologies corporation,taqpath  combo ,706
1208,thermo fisher scientific  see also life technologies corporation,taqpath  fast pcrcombo  20,708
1209,thermo fisher scientific  see also life technologies corporation,taqpath  flua flub combo ,711
1210,thermo fisher scientific  see also life technologies corporation,taqpath  pooling ,713
1211,thermo fisher scientific  see also life technologies corporation,taqpath  rnase combo  20,709
1212,thermo fisher scientific  see also life technologies corporation,taqpath new coronavirus real time pcrdetection ,712
1213,thermo fisher scientific us invitrogen bioservices india pvt ,covipath  a50780,1434
1214,tns  bio tns, pna ,214
1215,tns co, pna ,956
1216,tody laboratories int,coronavirus  influenza ab antigen combo nasopharyngeal specimen,135
1217,tody laboratories int,coronavirus antigen nasopharyngeal specimen,137
1218,tody laboratories int,coronavirus antigen oral fluid,136
1219,tokyo boeki medisys,afias  ag  cartridge,29
1220,tokyo boeki medisys ,afias  ag cartridge,28
1221,tosoh bioscience,cl aia pack ag,120
1222,tosoh corporation,cl aia pack ag,121
1223,tosoh corporation,trcready  ,724
1224,toyobo ,gene cube  ,301
1225,toyobo ,gene cube hq  ,300
1226,toyobo ,immunoarrow  ,336
1227,toyobo ,immunoarrow antigen  ,337
1228,transasia biomedical ,erbaqik  ag rapid ,1237
1229,transasia biomedicals  mumbai maharashtra india,erbalisa  igg elisa,1194
1230,transasia diagnostics solutions limited maharashtra,erbamdx  ,1435
1231,transcience innovative technologies chennai,truescreen  multiplex real time detection ,1436
1232,trivitron healthcare pvt ,biocard pro  antigen ,82
1233,trivitron healthcare pvt ,sure direct multiplex with extraction free technology,1439
1234,trivitron healthcare pvt ,sure multiplex realtime ,1437
1235,trivitron healthcare pvt ,sure pro multiplex ,1438
1236,trivitron healthcare pvt  mumbai maharashtra india, kavach anti human igg elisa ,1199
1237,tulip mdiagnostics  verna,amplichain  ,1440
1238,twist bioscience corporation,  ngs assay,637
1239,ubio biotechnology systems private limited,sensit  rapid antigen  ,658
1240,ubio biotechnology systems private limited,viragen molecular diagnostics  real  time ,1441
1241,ubio biotechnology systems pvt  kochin kerala india,sensit rapid  ag ,1222
1242,ustar biotechnologies hangzhou  china,diagnostic  novel  coronavirus 2019 rna isothermal amplification real time fluorescence assay,239
1243,ustar biotechnologies hangzhou  china,easynat diagnostic  novel coronavirus 2019  rna isothermal amplification real time fluorescence assay,250
1244,vanguard diagnostics delhiindia , igmigg antibodydetection card  ,1159
1245,vazyme medical technology  floor 13 building c2 red maple park of technolngical industry kechuang road economy  technology development zone nanjing china,2019 novel coronavirus 2019 triplex qpcr detection ,1027
1246,vela operations singapore  ,virokey ,739
1247,vela operations singapore  ,virokey  v20,740
1248,vida biotecnologia  me, ag fast,154
1249,vida biotecnologia  me, ag se rapido,159
1250,vida biotecnologia  me,vida fia  ag,738
1251,vimek bioconcept pvt ,  fluorescent pcr,1442
1252,vircell sl,vircell microbiologists direct real time ,954
1253,visby medical,visby medical  point care ,741
1254,vitane biologics pvt  telangana,covtect  qualitative ,1443
1255,vitro sa spain dss imagetech private ,  ,1444
1256,vitromed healthcare,vitromed 2019 ,1445
1257,vitrosens biyoteknoloji  sti,rapidfor ag  ,564
1258,vivacheck biotech hangzhou  china,vivadiag igmigg rapid ,744
1259,vivacheck biotech hangzhou co,vivadiag ag rapid ,798
1260,vivacheck biotech hangzhou co,vivadiag pro ag rapid ,799
1261,vivachek biotech hangzhou ,immupass vivadiag ag rapid ,340
1262,vivachek biotech hangzhou  china,verino neutralizing antibody fia  ,807
1263,vivachek biotech hangzhou level 2 block 2 146 east chaofeng rd yuhang economy development zone hangzhou 311100 zhejiang china,vivadiag  igmigg rapid ,1111
1264,voxtur bio  mumbai maharashtra india,voxel anti igg antibody detection kavach,1192
1265,voxtur bio  surat gujarat india,coronavirus  iggigmrapid  ,1158
1266,vyttra diagnosticos,smart ag,677
1267,wallac oy,perkinelmer real time  assay,941
1268,wallac oy finland,  qpcrreagent ,650
1269,wama diagnostica,imuno rpido  ag,341
1270,weiner lab,wl check ag,756
1271,wells bio ,careus  antigen,110
1272,wesail biotech ,wesail  antigen  ,754
1273,willi fox gmbh,willi fox  antigen rapid ,755
1274,won one medical ,wonmed  ag,757
1275,wuhan easydiagnosis biomedicine  china,  igmiggantibody  ,633
1276,wuhan easydiagnosis biomedicine  china,  nucleic acid  ,144
1277,wuxi biohermes bio  medical technology ,biohermes antigen lateral flow assay,804
1278,wuxi biohermes bio  medical technology ,biohermes neutralizing antibodies enzyme linked immunosorbent assay,803
1279,xiamen amonmed biotechnology , antigen rapid colloidal gold,186
1280,xiamen biotime biotechnology  china,biotime  iggigm rapid qualitative ,103
1281,xiamen biotime biotechnology  china distributed oneill medical  horiba instrument orporated lifesaving global  the ruhof corporation marlans group us jemf pharma,biotime  iggigm rapid qualitative ,102
1282,xiamen biotime biotechnology  china distributed telepoint medical services ,rebranded by telepoint medicalservices llc,571
1283,xiamen boson biotech ,boson biotech rapid 2019 iggigm combo  card,840
1284,xiamen boson biotech ,promeds diagnostics 2019 iggigm combo  card,846
1285,xiamen boson biotech ,xiamen boson rapid 2019 iggigm combo  card,906
1286,xiamen boson biotech  china,rapid antigen  card,"559,560,561,562"
1287,xiamen wiz biotech , influenza ainfluenza antigen rapid ,654
1288,xiamen wiz biotech co,wiz biotech antigen rapid ,801
1289,xiamen zeesan biotech  china,  real  time pcr,651
1290,xiamen zeesan biotech building 1 no 3701 xiangan north road torch hi  tech industrial development zone xiangan xiamen fujian 361101 china,  real time pcr,1057
1291,xian tianlong sciencetechnology corporate limited,novel corona virus 2019 nucleic ac detection automatic nucleic acid extractor,934
1292,xtrava health,spera  ag ,685
1293,yaathum biotech private limited tamil nadu india,  qpcr multiplex ,1446
1294,yashraj biotechnology limited,covigene  qualitative nucleic acid ,1447
1295,yd diagnostics corp korea poct services private limited,molecutech real time  ,1448
1296,yhlo iflash china,  igg clia,1190
1297,youseq uk,19 enrdrp gene multiplex qpcr ,1449
1298,yuvraj biobiz ubator india pvt ,ybio rapid ag  ,"760,1234"
1299,z biotech ,anylab  ag  ,45
1300,zalgen labs ,re  antigen elisa ,573
1301,zalgen labs ,re  antigen rapid ,574
1302,zalgen labs ,re pan corona antigen elisa ,575
1303,zephyr biomedicals division of tulip diagnostics pvt ,igg covimmuno device,1178
1304,zephyr biomedicals division of tulip diagnostics pvt ,rapid  detection igm and igg antibodies,1176
1305,zephyr biomedicals tulip diagnostics goa india,covirat  rapid antigen  ,1147
1306,zephyr biomedicalstulip group,covirat  rapid antigen  ,230
1307,zhejiang anji saianfu biotech co,andlucky  antigen rapid  cassette,827
1308,zhejiang anji saianfu biotech co,seinofy  antigen rapid  cassette,831
1309,zhejiang anji saianfu biotech co,seinofy  iggigm rapid ,823
1310,zhejiang kuaye biotechnology ,ky bio  ag ,858
1311,zhejiang kuaye biotechnology ,ky bio  nab ,833
1312,zhejiang orient gene biotech,coronavirus ag rapid ,138
1313,zhejiang orient gene biotech,lambra coronavirus rapid antigen ,376
1314,zhejiang orient gene biotech  china, iggigm rapid  cassette,203
1315,zhongshan chuangyi biochemical engineering  china, iggigm rapid  ,205
1316,zhuhai encode medical engineering ,encode antigen rapid  device,260
1317,zhuhai lituo biotechnology , antigen detection  colloidal gold,165
1318,zhuhai lituo biotechnology , antigen detection  immunofluorescence assay,166
1319,zhuhai livzon diagnostic ,livzon rapid  antigen lateral flow,813
1320,zhuhai livzon diagnostics ce ivd, igmigg antibodyrapid  ,1185
1321,zhuhai sinochips bioscience , nucleic acid ,"207,208"
1322,zybio ,  nucleic acid detection  fluorescent probe method,1032
1323,zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing china,  antigen assay  colloidal gold,1067
1324,zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing china,  antigen assay  colloidal gold method,1060
1325,zybio  floor 1 to floor 4 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china 400082,  antigen assay  colloidal gold method,1059
1326,zybio  floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district 400082 chongqing peoples republic of china,molaccu  detection ,1021
1327,zybio china biodx healthcare,zybio na detection ,1450
1328,zybio floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china,  nucleic acid detection  fluorescent probe method,1012
1329,zybio floor 1 to floor 5 building 30 no6 of taikang road block of jianqiao industrial park dadukou district chongqing china 400082,  nucleic acid detection  fluorescent probe method,1014
1330,zydus cadila healthcare  ahmedabad gujarat india, kavach igg elisa,1188
1331,zymo research corp,quick rrt ,535
